Cod_Secao;Cod_Divisao;Cod_Grupo;Cod_Classe;Nome_Secao;Nome_Divisao;Nome_Grupo;Nome_Classe
A;1;11;1113;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;Cultivo de cereais
A;1;11;1121;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
A;1;11;1130;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;Cultivo de cana-de-açúcar
A;1;11;1148;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;Cultivo de fumo
A;1;11;1156;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;Cultivo de soja
A;1;11;1164;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;Cultivo de oleaginosas de lavoura temporária, exceto soja
A;1;11;1199;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras temporárias;Cultivo de plantas de lavoura temporária não especificadas anteriormente
A;1;12;1211;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Horticultura e floricultura;Horticultura
A;1;12;1229;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Horticultura e floricultura;Cultivo de flores e plantas ornamentais
A;1;13;1318;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;Cultivo de laranja
A;1;13;1326;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;Cultivo de uva
A;1;13;1334;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;Cultivo de frutas de lavoura permanente, exceto laranja e uva
A;1;13;1342;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;Cultivo de café
A;1;13;1351;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;Cultivo de cacau
A;1;13;1393;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de lavouras permanentes;Cultivo de plantas de lavoura permanente não especificadas anteriormente
A;1;14;1415;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de sementes e mudas certificadas;Produção de sementes certificadas
A;1;14;1423;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Produção de sementes e mudas certificadas;Produção de mudas e outras formas de propagação vegetal, certificadas
A;1;15;1512;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;Criação de bovinos
A;1;15;1521;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;Criação de outros animais de grande porte
A;1;15;1539;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;Criação de caprinos e ovinos
A;1;15;1547;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;Pecuária;Criação de suínos
